ESQUINA,COLONIA,ALCALDIA,BOTON,ALTAVOZ,LONGITUD ,LATITUD ,geopoint,TIPO DE POSTE,ESTATUS CONECTIVIDAD,INCREMENTO 100 Mbps
ANTIGUO CAMINO A XOCHIMILCO,AMPL. LA NORIA,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.127374,19.268519,"19.268519,-99.127374",9m,WIFI GRATUITO_ACTIVO,SI
AV. INSURGENTES NORTE,SANTA MARIA INSURGENTES,CUAUHTEMOC,SIN BOTON,CON ALTAVOZ,-99.144576,19.462842,"19.462842,-99.144576",9m,WIFI GRATUITO_ACTIVO,SI
C. SOL,GUERRERO,CUAUHTEMOC,SIN BOTON,SIN ALTAVOZ,-99.138979,19.446715,"19.446715,-99.138979",9m,WIFI GRATUITO_ACTIVO,SI
EJE 2 NORTE MANUEL GONZALEZ,EX HIPODROMO DE PERALVILLO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.140263,19.455399,"19.455399,-99.140263",9m,WIFI GRATUITO_ACTIVO,SI
CALZ. DE GUADALUPE,EX HIPODROMO DE PERALVILLO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.128145,19.456908,"19.456908,-99.128145",9m,WIFI GRATUITO_ACTIVO,SI
C. PLATINO,VALLE GOMEZ,CUAUHTEMOC,SIN BOTON,SIN ALTAVOZ,-99.124543,19.456711,"19.456711,-99.124543",9m,WIFI GRATUITO_ACTIVO,SI
AV. NUEVO LEON (AV. TAMAULIPAS),ROMA NORTE,CUAUHTEMOC,SIN BOTON,CON ALTAVOZ,-99.170043,19.415871,"19.415871,-99.170043",9m,WIFI GRATUITO_ACTIVO,SI
C. F.F.C.C,INDUSTRIAL VALLEJO,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.159156,19.494858,"19.494858,-99.159156",9m,WIFI GRATUITO_ACTIVO,SI
AV. TAMAULIPAS,HIPODROMO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.175237,19.409847,"19.409847,-99.175237",9m,WIFI GRATUITO_ACTIVO,SI
RT. CREPUSCULO,PEDREGAL DEL MAUREL,COYOACAN,CON BOTON,CON ALTAVOZ,-99.176435,19.309315,"19.309315,-99.176435",9m,WIFI GRATUITO_ACTIVO,SI
C. PLAYA ROSARITO,BARRIO DE SANTIAGO SUR,IZTACALCO,CON BOTON,CON ALTAVOZ,-99.125613,19.386238,"19.386238,-99.125613",9m,WIFI GRATUITO_ACTIVO,SI
C. SUR 159,AMPLIACION RAMOS MILLAN,IZTACALCO,CON BOTON,CON ALTAVOZ,-99.095473,19.388416,"19.388416,-99.095473",9m,WIFI GRATUITO_ACTIVO,SI
AV. DEL RECREO,EX EJIDOS MAGDALENA MIXHUCA,IZTACALCO,CON BOTON,CON ALTAVOZ,-99.090237,19.392359,"19.392359,-99.090237",9m,WIFI GRATUITO_ACTIVO,SI
C. SUR 131,GABRIEL RAMOS MILLAN,IZTACALCO,CON BOTON,CON ALTAVOZ,-99.101657,19.392642,"19.392642,-99.101657",9m,WIFI GRATUITO_ACTIVO,SI
ACCESO A FORO SOL (PUERTA 5),GRANJAS MEXICO,IZTACALCO,CON BOTON,CON ALTAVOZ,-99.093089,19.40653,"19.40653,-99.093089",9m,WIFI GRATUITO_ACTIVO,SI
C. ALTA TENSION,LOS OLIVOS,TLAHUAC,SIN BOTON,SIN ALTAVOZ,-99.051031,19.312221,"19.312221,-99.051031",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE 1a CDA. PORVENIR Y ANDADOR SANTA CRUZ,LOS OLIVOS,TLAHUAC,CON BOTON,SIN ALTAVOZ,-99.050202,19.307323,"19.307323,-99.050202",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE C. AGRARIA Y 2DO. CALLEJON FRANCISCO I. MADERO,BARRIO GUADALUPE,TLAHUAC,CON BOTON,SIN ALTAVOZ,-99.006375,19.266815,"19.266815,-99.006375",9m,WIFI GRATUITO_ACTIVO,SI
C. BARTOLOME DE ESCOBEDO,AGRICOLA METROPOLITANA,TLAHUAC,CON BOTON,CON ALTAVOZ,-99.050825,19.290459,"19.290459,-99.050825",9m,WIFI GRATUITO_ACTIVO,SI
C. LUCIANO BECERRA (ANTES C. ADOLFO LOPEZ MATEOS),LA CONCHITA,TLAHUAC,CON BOTON,CON ALTAVOZ,-99.036424,19.289505,"19.289505,-99.036424",9m,WIFI GRATUITO_ACTIVO,SI
C. PEDRO HERNANDEZ SILVA,J.TORRES BODET,TLAHUAC,SIN BOTON,CON ALTAVOZ,-98.994129,19.228767,"19.228767,-98.994129",9m,WIFI GRATUITO_ACTIVO,SI
